user_name,video_id,video_desc,video_time,video_duration,n_shares,n_likes,n_comments,n_plays,video_link
jongraz,7031306346398027013,#ad What are your favorite Bones Day songs? I want to start adding them to my @Spotify playlist! #bones #bonesday #playlistcheck #SpotifyPartner,1637103583,59,1308,111600,4846,8200000,https://www.tiktok.com/@jongraz/video/7031306346398027013?lang=en
jongraz,7031187804289912069,your Tuesday reading 🔮🦴🔮 #pug #fortune #noodletok,1637075983,50,18400,374400,4612,2200000,https://www.tiktok.com/@jongraz/video/7031187804289912069?lang=en
jongraz,7030944549555981574,#greenscreen okay ADMITTEDLY a lot is happening in this video but we have holiday merch!! Click the link in our bio to snag festive Noodle stuff ✨🎉,1637019346,15,4233,60100,923,570200,https://www.tiktok.com/@jongraz/video/7030944549555981574?lang=en
jongraz,7030808551417236741,you know what to do 🔮🦴🔮 #bonesday #nobones #mondaymotivation #pug #noodletok,1636987682,48,18900,405700,4760,2100000,https://www.tiktok.com/@jongraz/video/7030808551417236741?lang=en
jongraz,7029702975224417541,happy almost weekend everyone 🔮🦴🔮 #bones #nobones #noodletok #kindness #broth #redtaylorsversion,1636730270,60,18800,327800,4944,2200000,https://www.tiktok.com/@jongraz/video/7029702975224417541?lang=en
jongraz,7029337289553693958,your Thursday reading 🔮🦴🔮 #bones #nobones #noodletok #kindness #fortune,1636645127,50,30600,726300,8316,3200000,https://www.tiktok.com/@jongraz/video/7029337289553693958?lang=en
jongraz,7028950441270611205,happy Wednesday! let’s help some PETS!! 😁#adoptdontshop #seniorpets #rescuedog #rescue,1636555057,58,2242,108200,10700,815800,https://www.tiktok.com/@jongraz/video/7028950441270611205?lang=en
jongraz,7028597285869128966,you know what to do 🔮🦴🔮 #bonesday #nobones #noodletok #treatyoself,1636472831,58,23700,508000,19300,2100000,https://www.tiktok.com/@jongraz/video/7028597285869128966?lang=en
jongraz,7028212495621934342,make it a good one you guys! #bones #nobones #noodletok #positivity #anxiety #nopeeingontrash,1636383241,57,14000,375300,4646,2200000,https://www.tiktok.com/@jongraz/video/7028212495621934342?lang=en
jongraz,7027854235492551941,#ad 🚨dream come true moment🚨 Noodle and I are going to be on @QVC + @HSN TODAY at 12pm EST! Hope you can tune in! #HSN #QVC #sponsored,1636299826,59,375,65600,664,865500,https://www.tiktok.com/@jongraz/video/7027854235492551941?lang=en
jongraz,7027831943009930502,your Sunday reading 🔮🦴🔮 #bones #nobones #weekendvibes #sundayfunday #noodletok,1636294636,59,34000,862000,9431,3600000,https://www.tiktok.com/@jongraz/video/7027831943009930502?lang=en
jongraz,7027598550498397446,"#greenscreen I know what the words mean individually, but WHAT do they mean in a sentence like this?? #girlboss #millennial #cancelled #noodletok",1636240295,59,42700,2600000,31800,11700000,https://www.tiktok.com/@jongraz/video/7027598550498397446?lang=en
jongraz,7027092093080325382,happy Friday everyone! just some quick lil updates here ✨,1636122377,170,6691,216000,5054,1800000,https://www.tiktok.com/@jongraz/video/7027092093080325382?lang=en
jongraz,7026722598096538886,an epic reading this morning with @underthedesknews!! plan your day accordingly 🔮🦴🔮 #bonesday #nobones #noodletok,1636036346,50,42400,1100000,14900,5200000,https://www.tiktok.com/@jongraz/video/7026722598096538886?lang=en
jongraz,7026343071839276294,it’s gonna be a DAY 🔮🦴🔮 #nobones #bones #pug #noodletok #treatyoself,1635947981,57,59200,829600,14600,3600000,https://www.tiktok.com/@jongraz/video/7026343071839276294?lang=en
jongraz,7025988024450223366,it’s comfy pug O’CLOCK! have a great day everyone! don’t move if you can help it! #pug #comfy #vibes #nobones #noodletok,1635865315,20,29800,719700,6384,3700000,https://www.tiktok.com/@jongraz/video/7025988024450223366?lang=en
jongraz,7024113803679763717,Reply to @jongraz BONES WEEKEND INC 🎃🦴🎃,1635428939,14,6411,276700,1925,3200000,https://www.tiktok.com/@jongraz/video/7024113803679763717?lang=en
jongraz,7024110833995205893,your pre-Halloween reading 🔮🎃🦴 #nobones #bonesday #pug #noodletok #halloween,1635428248,42,99900,1500000,18000,6800000,https://www.tiktok.com/@jongraz/video/7024110833995205893?lang=en
jongraz,7023503355821460742,#duet with @auditydraws how amazing are these?? so amazing they’re now #MERCH! click the link in my bio to SNAG! #PUG! Thank you Audrey! I love them 😭,1635286808,59,2856,584400,1197,4200000,https://www.tiktok.com/@jongraz/video/7023503355821460742?lang=en
jongraz,7023371588124921093,you know what to do 🔮🦴🔮 #nobones #bonesday #pug #noodletok #fortune,1635256129,39,103400,1300000,20000,7000000,https://www.tiktok.com/@jongraz/video/7023371588124921093?lang=en
jongraz,7023004798215539973,happy Monday from Grandma’s house! 🦴🔮🦴 #bonesday #nobones #mondaymotivation #pug #noodletok,1635170729,47,126200,2200000,29600,9800000,https://www.tiktok.com/@jongraz/video/7023004798215539973?lang=en
jongraz,7022667507362221318,he’s stocked and ready for a week of readings! thank you all so much! 🔮🦴 #nobones #bonesday #shopping #petstore #noodletok,1635092197,171,2033,245600,4094,2800000,https://www.tiktok.com/@jongraz/video/7022667507362221318?lang=en
jongraz,7022251358833118469,plan accordingly 🔮🦴🔮 #nobones #bonesday #pug #adoptdontshop #noodletok,1634995307,40,160700,2400000,37500,10200000,https://www.tiktok.com/@jongraz/video/7022251358833118469?lang=en
